#	Name	ПАРТІЯ/РЕГІОН
184	Король Віктор Миколайович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
185	Корчик Віталій Андрійович	Політична партія "НАРОДНИЙ ФРОНТ"
186	Корчинська Оксана Анатоліївна	Радикальна Партія Олега Ляшка
187	Костенко Павло Петрович	Політична партія "Об'єднання "САМОПОМІЧ"
188	Котвіцький Ігор Олександрович	Політична партія "НАРОДНИЙ ФРОНТ"
189	Кошелєва Альона Володимирівна	Радикальна Партія Олега Ляшка
190	Кремінь Тарас Дмитрович	Політична партія "НАРОДНИЙ ФРОНТ"
191	Кривенко Вадим Валерійович	Політична партія "НАРОДНИЙ ФРОНТ"
192	Кривенко Віктор Миколайович	Політична партія "Об'єднання "САМОПОМІЧ"
193	Кривохатько Вадим Вікторович	Запорізька область
194	Кривошея Геннадій Григорович	Політична партія "НАРОДНИЙ ФРОНТ"
195	Кришин Олег Юрійович	Дніпропетровська область
196	Крулько Іван Іванович	політична партія Всеукраїнське об'єднання "Батьківщина"
197	Ксенжук Олександр Степанович	Політична партія "НАРОДНИЙ ФРОНТ"
198	Кудлаєнко Сергій Володимирович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
199	Кужель Олександра Володимирівна	політична партія Всеукраїнське об'єднання "Батьківщина"
200	Кузьменко Анатолій Іванович	Кіровоградська область
201	Кулініч Олег Іванович	Полтавська область
202	Куліченко Іван Іванович	Дніпропетровська область
203	Куніцин Сергій Володимирович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
204	Купрієнко Олег Васильович	Радикальна Партія Олега Ляшка
205	Купрій Віталій Миколайович	Дніпропетровська область
206	Курило Віталій Семенович	Луганська область
207	Курячий Максим Павлович	Дніпропетровська область
208	Кучер Микола Іванович	Вінницька область
209	Лабазюк Сергій Петрович	Хмельницька область
210	Лаврик Микола Іванович	Сумська область
211	Лаврик Олег Васильович	Політична партія "Об'єднання "САМОПОМІЧ"
212	Ланьо Михайло Іванович	Закарпатська область
213	Лапін Ігор Олександрович	Волинська область
214	Ларін Сергій Миколайович	Політична партія "Опозиційний блок"
215	Левус Андрій Мар’янович	Політична партія "НАРОДНИЙ ФРОНТ"
216	Левченко Юрій Володимирович	м. Київ
217	Ледовських Олена Володимирівна	Політична партія "НАРОДНИЙ ФРОНТ"
218	Ленський Олексій Олексійович	Радикальна Партія Олега Ляшка
219	Лесюк Ярослав Васильович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
220	Лещенко Сергій Анатолійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
221	Литвин Володимир Михайлович	Житомирська область
222	Лівік Олександр Петрович	Миколаївська область
223	Лінько Дмитро Володимирович	Радикальна Партія Олега Ляшка
224	Логвинський Георгій Володимирович	Політична партія "НАРОДНИЙ ФРОНТ"
225	Лозовой Андрій Сергійович	Радикальна Партія Олега Ляшка
226	Лопушанський Андрій Ярославович	Львівська область
227	Лубінець Дмитро Валерійович	Донецька область
228	Лук’янчук Руслан Валерійович	Політична партія "НАРОДНИЙ ФРОНТ"
229	Лунченко Валерій Валерійович	Політична партія "НАРОДНИЙ ФРОНТ"
230	Луценко Ігор Вікторович	політична партія Всеукраїнське об'єднання "Батьківщина"
231	Луценко Ірина Степанівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
232	Льовочкін Сергій Володимирович	Політична партія "Опозиційний блок"
233	Льовочкіна Юлія Володимирівна	Політична партія "Опозиційний блок"
234	Люшняк Микола Володимирович	Тернопільська область
235	Ляшко Олег Валерійович	Радикальна Партія Олега Ляшка
236	Макар’ян Давид Борисович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
237	Македон Юрій Миколайович	Вінницька область
238	Мамчур Юлій Валерійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
239	Маркевич Ярослав Володимирович	Політична партія "Об'єднання "САМОПОМІЧ"
240	Мартиняк Сергій Васильович	Волинська область
241	Мартовицький Артур Володимирович	Дніпропетровська область
242	Марченко Олександр Олександрович	Київська область
243	Масоріна Олена Сергіївна	Політична партія "НАРОДНИЙ ФРОНТ"
244	Матвієнко Анатолій Сергійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
245	Матвієнков Сергій Анатолійович	Донецька область
246	Матвійчук Едуард Леонідович	Одеська область
247	Матейченко Костянтин Володимирович	Політична партія "НАРОДНИЙ ФРОНТ"
248	Матіос Марія Василівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
249	Матківський Богдан Миронович	Львівська область
250	Матузко Олена Олександрівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
251	Мацола Роман Миколайович	Хмельницька область
252	Медуниця Олег Вячеславович	Сумська область
253	Мельник Сергій Іванович	Хмельницька область
254	Мельниченко Володимир Володимирович	Хмельницька область
255	Мельничук Іван Іванович	Вінницька область
256	Мельничук Сергій Петрович	Радикальна Партія Олега Ляшка
257	Мепарішвілі Хвича Нодарович	Політична партія "НАРОДНИЙ ФРОНТ"
258	Микитась Максим Вікторович	Чернігівська область
259	Мирний Іван Миколайович	Політична партія "Опозиційний блок"
260	Мисик Володимир Юрійович	Харківська область
261	Мірошниченко Юрій Романович	Політична партія "Опозиційний блок"
262	Мірошніченко Іван Володимирович	Політична партія "Об'єднання "САМОПОМІЧ"
263	Міщенко Сергій Григорович	Київська область
264	Молоток Ігор Федорович	Сумська область
265	Мороко Юрій Миколайович	Політична партія "Опозиційний блок"
266	Мосійчук Ігор Володимирович	Радикальна Партія Олега Ляшка
267	Москаленко Ярослав Миколайович	Київська область
268	Мураєв Євгеній Володимирович	Харківська область
269	Мусій Олег Степанович	Львівська область
270	Мушак Олексій Петрович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
271	Найєм Мустафа-Масі	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
272	Негой Федір Федорович	Херсонська область
273	Недава Олег Анатолійович	Донецька область
274	Немировський Андрій Валентинович	Політична партія "Об'єднання "САМОПОМІЧ"
275	Немиря Григорій Михайлович	політична партія Всеукраїнське об'єднання "Батьківщина"
276	Нестеренко Вадим Григорович	Дніпропетровська область
277	Нечаєв Олександр Ігоревич	Політична партія "Опозиційний блок"
278	Ничипоренко Валентин Миколайович	Черкаська область
279	Німченко Василь Іванович	Політична партія "Опозиційний блок"
280	Новак Наталія Василівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
281	Новинський Вадим Владиславович	Політична партія "Опозиційний блок"
282	Одарченко Юрій Віталійович	Херсонська область
283	Омельянович Денис Сергійович	Донецька область
284	Онищенко Олександр Романович	Київська область
285	Онуфрик Богдан Семенович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
286	Опанасенко Олександр Валерійович	Політична партія "Об'єднання "САМОПОМІЧ"
287	Остапчук Віктор Миколайович	Харківська область
288	Острікова Тетяна Георгіївна	Політична партія "Об'єднання "САМОПОМІЧ"
289	Осуховський Олег Іванович	Рівненська область
290	Павелко Андрій Васильович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
291	Павленко Юрій Олексійович	Політична партія "Опозиційний блок"
292	Павлов Костянтин Юрійович	Дніпропетровська область
293	Паламарчук Микола Петрович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
294	Палатний Артур Леонідович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
295	Папієв Михайло Миколайович	Політична партія "Опозиційний блок"
296	Парасюк Володимир Зіновійович	Львівська область
297	Парубій Андрій Володимирович	Політична партія "НАРОДНИЙ ФРОНТ"
298	Пастух Тарас Тимофійович	Тернопільська область
299	Пацкан Валерій Васильович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
300	Пашинський Сергій Володимирович	Політична партія "НАРОДНИЙ ФРОНТ"
301	Петренко Олег Миколайович	Черкаська область
302	Петьовка Василь Васильович	Закарпатська область
303	Пинзеник Віктор Михайлович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
304	Пинзеник Павло Васильович	Політична партія "НАРОДНИЙ ФРОНТ"
305	Писаренко Валерій Володимирович	Харківська область
306	Підберезняк Вадим Іванович	Політична партія "НАРОДНИЙ ФРОНТ"
307	Підлісецький Лев Теофілович	Політична партія "Об'єднання "САМОПОМІЧ"
308	Побер Ігор Миколайович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
309	Подоляк Ірина Ігорівна	Львівська область
310	Поляков Максим Анатолійович	Політична партія "НАРОДНИЙ ФРОНТ"
311	Помазанов Андрій Віталійович	Політична партія "НАРОДНИЙ ФРОНТ"
312	Пономарьов Олександр Сергійович	Запорізька область
313	Поплавський Михайло Михайлович	Кіровоградська область
314	Попов Ігор Володимирович	Радикальна Партія Олега Ляшка
315	Порошенко Олексій Петрович	Вінницька область
316	Пресман Олександр Семенович	Одеська область
317	Присяжнюк Олександр Анатолійович	Політична партія "НАРОДНИЙ ФРОНТ"
318	Продан Оксана Петрівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
319	Пташник Вікторія Юріївна	Політична партія "Об'єднання "САМОПОМІЧ"
320	Рабінович Вадим Зіновійович	Політична партія "Опозиційний блок"
321	Развадовський Віктор Йосипович	Житомирська область
322	Ревега Олександр Васильович	Житомирська область
323	Река Андрій Олександрович	Полтавська область
324	Рибак Іван Петрович	Чернівецька область
325	Рибалка Сергій Вікторович	Радикальна Партія Олега Ляшка
326	Рибчинський Євген Юрійович	м. Київ
327	Ричкова Тетяна Борисівна	Дніпропетровська область
328	Різаненко Павло Олександрович	Київська область
329	Розенблат Борислав Соломонович	Житомирська область
330	Романова Анна Анатоліївна	Політична партія "Об'єднання "САМОПОМІЧ"
331	Романовський Олександр Володимирович	Політична партія "НАРОДНИЙ ФРОНТ"
332	Романюк Віктор Миколайович	Київська область
333	Романюк Роман Сергійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
334	Рудик Сергій Ярославович	Черкаська область
335	Рябчин Олексій Михайлович	політична партія Всеукраїнське об'єднання "Батьківщина"
336	Сабашук Петро Павлович	Запорізька область
337	Саврасов Максим Віталійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
338	Савченко Надія Вікторівна	політична партія Всеукраїнське об'єднання "Батьківщина"
339	Савченко Олексій Юрійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
340	Савчук Юрій Петрович	Політична партія "НАРОДНИЙ ФРОНТ"
341	Сажко Сергій Миколайович	Донецька область
342	Святаш Дмитро Володимирович	Харківська область
343	Севрюков Владислав Володимирович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
344	Семенуха Роман Сергійович	Політична партія "Об'єднання "САМОПОМІЧ"
345	Семенченко Семен Ігорович	Політична партія "Об'єднання "САМОПОМІЧ"
346	Сидорович Руслан Михайлович	Політична партія "Об'єднання "САМОПОМІЧ"
347	Сидорчук Вадим Васильович	Політична партія "НАРОДНИЙ ФРОНТ"
348	Силантьєв Денис Олегович	Радикальна Партія Олега Ляшка
349	Сироїд Оксана Іванівна	Політична партія "Об'єднання "САМОПОМІЧ"
350	Сисоєнко Ірина Володимирівна	Політична партія "Об'єднання "САМОПОМІЧ"
351	Скорик Микола Леонідович	Політична партія "Опозиційний блок"
352	Скрипник Олексій Олексійович	Політична партія "Об'єднання "САМОПОМІЧ"
353	Скуратовський Сергій Іванович	Радикальна Партія Олега Ляшка
354	Соболєв Єгор Вікторович	Політична партія "Об'єднання "САМОПОМІЧ"
355	Соболєв Сергій Владиславович	політична партія Всеукраїнське об'єднання "Батьківщина"
356	Соловей Юрій Ігорович	Івано-Франківська область
357	Солод Юрій Васильович	Донецька область
358	Сольвар Руслан Миколайович	Київська область
359	Соляр Володимир Миронович	Політична партія "НАРОДНИЙ ФРОНТ"
360	Сотник Олена Сергіївна	Політична партія "Об'єднання "САМОПОМІЧ"
361	Сочка Олександр Олександрович	Політична партія "НАРОДНИЙ ФРОНТ"
362	Співаковський Олександр Володимирович	Херсонська область
363	Спориш Іван Дмитрович	Вінницька область
364	Сташук Віталій Филимонович	м. Київ
365	Стеценко Дмитро Олександрович	Політична партія "НАРОДНИЙ ФРОНТ"
366	Сугоняко Олександр Леонідович	Сумська область
367	Супруненко Олександр Іванович	м. Київ
368	Суслова Ірина Миколаївна	Політична партія "Об'єднання "САМОПОМІЧ"
369	Сюмар Вікторія Петрівна	Політична партія "НАРОДНИЙ ФРОНТ"
370	Тарасюк Борис Іванович	політична партія Всеукраїнське об'єднання "Батьківщина"
371	Тарута Сергій Олексійович	Донецька область
372	Тетерук Андрій Анатолійович	Політична партія "НАРОДНИЙ ФРОНТ"
373	Тимошенко Юлія Володимирівна	політична партія Всеукраїнське об'єднання "Батьківщина"
374	Тимчук Дмитро Борисович	Політична партія "НАРОДНИЙ ФРОНТ"
375	Тіміш Григорій Іванович	Чернівецька область
376	Ткачук Геннадій Віталійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
377	Третьяков Олександр Юрійович	м. Київ
378	Тригубенко Сергій Миколайович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
379	Унгурян Павло Якимович	Політична партія "НАРОДНИЙ ФРОНТ"
380	Урбанський Олександр Ігорович	Одеська область
381	Усов Костянтин Глібович	Дніпропетровська область
382	Фаєрмарк Сергій Олександрович	Політична партія "НАРОДНИЙ ФРОНТ"
383	Федорук Микола Трохимович	Чернівецька область
384	Фельдман Олександр Борисович	Харківська область
385	Фріз Ірина Василівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
386	Фролов Микола Олександрович	Запорізька область
387	Фурсін Іван Геннадійович	Одеська область
388	Хлань Сергій Володимирович	Херсонська область
389	Хміль Михайло Михайлович	Політична партія "НАРОДНИЙ ФРОНТ"
390	Хомутиннік Віталій Юрійович	Харківська область
391	Чекіта Геннадій Леонідович	Одеська область
392	Чепинога Віталій Михайлович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
393	Червакова Ольга Валеріївна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
394	Черненко Олександр Миколайович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
395	Чижмарь Юрій Васильович	Радикальна Партія Олега Ляшка
396	Чорновол Тетяна Миколаївна	Політична партія "НАРОДНИЙ ФРОНТ"
397	Чубаров Рефат Абдурахманович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
398	Чумак Віктор Васильович	м. Київ
399	Шаповалов Юрій Анатолійович	Полтавська область
400	Шахов Сергій Володимирович	Луганська область
401	Шверк Григорій Аронович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
402	Шевченко Віктор Леонідович	Івано-Франківська область
403	Шевченко Олександр Леонідович	Івано-Франківська область
404	Шенцев Дмитро Олексійович	Харківська область
405	Шинькович Андрій Васильович	Хмельницька область
406	Шипко Андрій Федорович	Дніпропетровська область
407	Шкварилюк Володимир Васильович	Політична партія "НАРОДНИЙ ФРОНТ"
408	Шкіря Ігор Миколайович	Донецька область
409	Шкрум Альона Іванівна	політична партія Всеукраїнське об'єднання "Батьківщина"
410	Шпенов Дмитро Юрійович	Дніпропетровська область
411	Шурма Ігор Михайлович	Політична партія "Опозиційний блок"
